anio,sexo,esperanza_vida
1887,TOTAL,31.7
1887,m,33.8
1887,v,30.3
1895,TOTAL,40.9
1895,m,43.4
1895,v,39.1
1904,TOTAL,47.7
1904,m,50.3
1904,v,45.8
1909,TOTAL,46.9
1909,m,49.6
1909,v,44.9
1914,TOTAL,48.6
1914,m,51.1
1914,v,46.8
1936,TOTAL,59.4
1936,m,62.5
1936,v,56.8
1947,TOTAL,65.2
1947,m,68.0
1947,v,62.8
1960,TOTAL,70.7
1960,m,74.2
1960,v,67.4
1970,TOTAL,69.2
1970,m,72.9
1970,v,65.2
1980,TOTAL,72.2
1980,m,75.8
1980,v,68.5
1991,TOTAL,72.7
1991,m,76.5
1991,v,69.2
2001,TOTAL,75.9
2001,m,79.4
2001,v,71.8
2010,TOTAL,77.17
2010,m,80.43
2010,v,74.11
