ano;mes;tn_dispuestas
2015;ENE;98468,9
2015;FEB;89176,6
2015;MAR;100597,1
2015;ABR;101593,6
2015;MAY;100626,8
2015;JUN;93304,4
2015;JUL;94688,6
2015;AGO;95382,8
2015;SEP;91091,6
2015;OCT;95728
2015;NOV;96584,5
2015;DIC;96137,6
2016;ENE;87355
2016;FEB;82607,7
2016;MAR;93369
2016;ABR;93186,4
2016;MAY;92370,3
2016;JUN;82918,2
2016;JUL;88591,4
2016;AGO;93143,8
2016;SEP;95941,9
2016;OCT;94420,2
2016;NOV;91450,4
2016;DIC;99354,3
2017;ENE;88746,8
2017;FEB;80193,9
2017;MAR;96762,4
2017;ABR;92871,3
2017;MAY;97821,8
2017;JUN;93222,4
2017;JUL;93182,7
2017;AGO;94007,7
2017;SEP;95899,5
2017;OCT;98293,4
2017;NOV;85117
2017;DIC;85083,9
2018;ENE;85374,2
2018;FEB;77076,7
2018;MAR;92207,6
2018;ABR;92065,5
2018;MAY;96653,1
2018;JUN;86491
2018;JUL;85880,5
2018;AGO;91337,1
2018;SEP;88878,9
2018;OCT;90518,8
2018;NOV;90298,5
2018;DIC;95162,4
2019;ENE;85603,3
2019;FEB;74660,4
2019;MAR;90043,2
2019;ABR;79118,8
2019;MAY;95757,7
2019;JUN;83937,9
2019;JUL;85514,4
2019;AGO;87658,8
2019;SEP;78275,2
2019;OCT;83111,4
2019;NOV;74133,5
2019;DIC;76233,9
2020;ENE;70577,9
2020;FEB;66109,4
2020;MAR;77897,5
2020;ABR;57203,5
2020;MAY;66357,2
2020;JUN;62601,3
2020;JUL;61433,3
2020;AGO;68147,6
2020;SEP;68677,2
2020;OCT;73630,3
2020;NOV;71004,6
2020;DIC;76098,1
2021;ENE;62489,3
2021;FEB;55408,4
2021;MAR;69304,1
2021;ABR;67022,6
2021;MAY;69157,5
2021;JUN;62587,4
2021;JUL;63933,6
2021;AGO;64685
2021;SEP;68543
2021;OCT;70611,6
2021;NOV;70607,1
2021;DIC;73893,2
2022;ENE;63061,8
2022;FEB;58790,9
2022;MAR;70434,1
2022;ABR;72123,8
2022;MAY;69466,6
2022;JUN;64306,3
2022;JUL;65240,1
2022;AGO;67361,4
2022;SEP;68201,4
2022;OCT;74127,1
2022;NOV;75408,8
2022;DIC;79839,7
2023;ENE;68185,9
2023;FEB;64767,1
2023;MAR;71129,7
2023;ABR;67467,5
2023;MAY;76578,7
2023;JUN;64629,7
2023;JUL;68800,3
2023;AGO;69351
2023;SEP;62711,9
2023;OCT;69448,6
2023;NOV;65927,9
2023;DIC;72672,5
2024;ENE;64958,9
2024;FEB;60470,2
2024;MAR;70119,1
2024;ABR;74253,4
2024;MAY;72815,7
2024;JUN;68202,5
2024;JUL;63835,4
2024;AGO;68676,9
2024;SEP;67694,1
2024;OCT;70702,5
2024;NOV;71794,8
2024;DIC;68700
2025;ENE;61385,3
2025;FEB;59936,4
2025;MAR;74628,9
2025;ABR;71751,2
2025;MAY;77538,2
2025;JUN;65137,5
2025;JUL;68067,1
2025;AGO;70537,4
